Competency;Level;Behavior
Biosecurity;Beginner;- apply biosecurity principles (where to park and keeping a clean zone in vehicle) , equipment (includes care and maintenance) and processes needed to move safely between premises during regular/low disease transfer
Biosecurity;Beginner;- recognize a biosecurity breach
Biosecurity;Beginner;- assess risk and insitute mitigating measures in low risk situations
Biosecurity;Beginner;- explain how to enter and leave a premise suspected of FAST disease , safely don and doff PPE
Biosecurity;Beginner;- member of a biosecurity team during an outbreak
Biosecurity;Competent;- apply pathogenic specific biosecurity protocols in TAD or FAST disease suspicion (high disease transfer risk) :  set up biocontainment zones, safely remove samples from infected premises, PPE
Biosecurity;Competent;- assess risk and insitute mitigating measures, in cases of biosecuirty breach in high disease transfer risk situations
Biosecurity;Competent;- lead biosecurity team during outbreak
Biosecurity;Competent;-use participatory approaches when explaining  biosecurity recommendations to producer
Biosecurity;Proficient;- design and administer biosecurity training,
Biosecurity;Proficient;- adapt procedures based on response needs (requires judgement and risk assessment)
Biosecurity;Proficient;- evaluate emerging technologies and makes recommendations based on sound veterinary information
Biosecurity;Proficient;-developing and auditing industry biosecurity plans
Biosecurity;Expert;- develop biosecurity policies
Biosecurity;Expert;- predict likelihood of achieving goals, Approve veterinary response decisions,
Biosecurity;Expert;- foresee impacts of veterinary decisions (e.g., benefits, liability, national, stakeholders).       TOM Competency framework Disease control short Nov2022
Sampling;Awareness;- describe the purpose of sampling
Sampling;Awareness;- identify the situations that require testing
Sampling;Awareness;- recognize the implications of sampling
Sampling;Awareness;- find up-to-date and reliable information regarding specific sampling plans/techniques
Sampling;Beginner;- outline the regulatory obligations of sampling
Sampling;Beginner;- recognize the program under which the sampling/testing falls
Sampling;Beginner;- recognize the zoonotics potential of a sample
Sampling;Beginner;- report results to OV
Sampling;Beginner;- collect, samples for diagnostic or testing purpose (antemortem and post mortem)
Sampling;Beginner;- package for shipping ensure the integrity of the samples. (includes safe collection, handling, and knowledge of transportation of dangerous goods)
Sampling;Competent;- provide advice on the collection of samples for diagnostic or testing purpose ( antemortem and post mortem)
Sampling;Competent;- interpret and explain results (onsite and lab.)
Sampling;Competent;- discuss factors affecting test outcomes
Sampling;Competent;- describe mechanism of diagnostic tests,
Sampling;Competent;- define diagnostic test performance terminology,
Sampling;Competent;- explain limitations of each test.
Sampling;Competent;-trains industry or other 3rd party samplers
Sampling;Competent;-coordinates self sampling plans
Sampling;Proficient;- develops sampling plans given the characteristics of the disease and sampling situation (individual vs. herd, surveillance vs. suspicion, this involves review of scientific literature, international standards and new methodologies           TOM Competency framework Disease control short Nov2022
Animal Identification, and Movement Control;Awareness;- describe methods to identify animals
Animal Identification, and Movement Control;Awareness;- define a control zone
Animal Identification, and Movement Control;Awareness;- describe the purpose of  a control zone
Animal Identification, and Movement Control;Awareness;- describe methods used to control movement of animals, animal products, equipment, and people
Animal Identification, and Movement Control;Awareness;- describe industry movement patterns for animals, products and by products.
Animal Identification, and Movement Control;Beginner;- describe established programs for animal identification
Animal Identification, and Movement Control;Beginner;- describe the principles of control zones.
Animal Identification, and Movement Control;Beginner;- apply identification method (ear tag, chip etc.)
Animal Identification, and Movement Control;Beginner;- control animal movement off a suspect/infected premises (includes regulatory authority documentation)
Animal Identification, and Movement Control;Beginner;- member of a zone movement control team during an outbreak
Animal Identification, and Movement Control;Beginner;- use ID database (National and/or EU) to trace animal movement history, etc.
Animal Identification, and Movement Control;Competent;- educate producers on animal ID program benefits and requirements
Animal Identification, and Movement Control;Competent;-certification of peace time animal movement (national or EU level)
Animal Identification, and Movement Control;Competent;- oversees local level public-private partnerships (leading a team, accreditation and/or audit) in support of animal ID program
Animal Identification, and Movement Control;Competent;- control animal movement within/in and out of a control zone (includes regulatory authority documentation)
Animal Identification, and Movement Control;Competent;- lead a team to enforce control zones during an outbreak
Animal Identification, and Movement Control;Competent;- determine if situations qualifies for as known exemption
Animal Identification, and Movement Control;Proficient;- determines limits of a control zone
Animal Identification, and Movement Control;Proficient;- modify control zones as required, recognizing factors that impact movement control decisions
Animal Identification, and Movement Control;Proficient;- allocate resources for enforcement
Animal Identification, and Movement Control;Proficient;- design and deliver movement control training
Animal Identification, and Movement Control;Proficient;-determine if situations qualifies for a unique or unusual  exemption
Animal Identification, and Movement Control;Expert;-write and modify movement control  polices and programs based on epidemiology, risk analysis/planning
Animal Identification, and Movement Control;Expert;- monitor results, to support the continual improvement of policies and programmes over time.
Animal Identification, and Movement Control;Expert;- work with partners to identify resources for enforcement
Animal Identification, and Movement Control;Expert;- predict likelihood of achieving goals
Animal Identification, and Movement Control;Expert;- foresee impacts of veterinary decisions (e.g., benefits, liability, national, stakeholders).   TOM Competency framework Disease control short Nov2022
Emergency and Disaster Management;Awareness;- describe the phases of an emergency event and the veterinary roles in preparedness, response, recovery and prevention or mitigation
Emergency and Disaster Management;Awareness;- identify legislation governing emergency response
Emergency and Disaster Management;Awareness;- explain integration and coordination between governmental and non-governmental responders, authorities, and public and private entities
Emergency and Disaster Management;Awareness;-explain the concept of incident coordination mechanisms, their functional capacity and the role of veterinarians, including in indirect aspects such as business continuity, food and feed security and animal welfare
Emergency and Disaster Management;Awareness;- participate in a emergency response under direction
Emergency and Disaster Management;Beginner;- apply the concept of incident coordination mechanisms, their functional capacity and the role of veterinarians, during a single event or initial incident
Emergency and Disaster Management;Beginner;- direct the work of others in VS and contractors at field level during the response
Emergency and Disaster Management;Competent;- apply the concept of incident coordination mechanisms, their functional capacity and the role of veterinarians,  in an expanding/complex incident '- take a specific functional position (task team leader) within the local emergency structure
Emergency and Disaster Management;Competent;- direct the action of non VS staff ( contractors, external stakeholders) at the local  level
Emergency and Disaster Management;Competent;-crisis communication at local level
Emergency and Disaster Management;Competent;-Identify the sectors that may be involved in addressing a multifaceted health event.
Emergency and Disaster Management;Proficient;- apply the concept of incident coordination mechanisms,  including multi agency coordination and indirect aspects such as business continuity, food and feed security and animal welfare during a complex and expanding incident
Emergency and Disaster Management;Proficient;- take a specific functional position ie epi lead within the emergency structure at the country region level
Emergency and Disaster Management;Proficient;- direct the actions of others at the local level
Emergency and Disaster Management;Proficient;- recognize political sensitivities
Emergency and Disaster Management;Proficient;-crisis communication at country region level
Emergency and Disaster Management;Expert;-  apply the concept of incident coordination mechanisms,  including international coordination and communication  during national incidents
Emergency and Disaster Management;Expert;- take a specific functional position within the emergency structure at the national level
Emergency and Disaster Management;Expert;- direct the actions of others at the national level
Emergency and Disaster Management;Expert;- recognize political sensitivities and find solutions
Emergency and Disaster Management;Expert;-crisis communication at national level      TOM Competency framework Disease control short Nov2022
Emergency Preparedness;Awareness;- describe the role of emergency preparedness planning (including training and exercises) in controlling  priority diseases
Emergency Preparedness;Awareness;- find disease, site or other preparedness plans (site specific plans, disease prevention, control and rapid response)
Emergency Preparedness;Awareness;-describe the value of approaching preparedness from an all hazards-perspective
Emergency Preparedness;Beginner;- uses preparedness plans
Emergency Preparedness;Beginner;- participates in preparedness at local level (contact lists, participate in training)
Emergency Preparedness;Beginner;-recognizes common triggers for investigation (local situational awareness)
Emergency Preparedness;Beginner;-explain regs and SOPs relevant to position
Emergency Preparedness;Competent;- develop site specific emergency plan (slaughterhouse, market, )
Emergency Preparedness;Competent;-develop sample collection logistics plan
Emergency Preparedness;Competent;- exercise site specific emergency plans
Emergency Preparedness;Competent;-recognize factors that impact ability to respond
Emergency Preparedness;Competent;-recognize suspicious biological events (including clusters, case definition and triggers)
Emergency Preparedness;Proficient;- write operational manuals/SOP based on national plans
Emergency Preparedness;Proficient;- support design and delivery of training
Emergency Preparedness;Proficient;- design and monitor simulation exercises
Emergency Preparedness;Proficient;- Identify  gaps in training or policy through after action reporting
Emergency Preparedness;Proficient;- support industry in development of their Business continuity and response plans
Emergency Preparedness;Proficient;-develop educational material for industry
Emergency Preparedness;Expert;- write or updates national plans based on after action reports, latest scientific knowledge, legislation, risk analysis develops auditing tools/SOPs for verification of activated plans      TOM Competency framework Disease control short Nov2022
Emergency Response;Awareness;- describe activities (and their purpose) of an incident response
Emergency Response;Awareness;- locate guidance documents/SOPs
Emergency Response;Beginner;- use disease specific plans to prepare for initial investigation
Emergency Response;Beginner;-  describe case definition
Emergency Response;Beginner;- assist an initial or outbreak  investigation (see epi, sampling, movement controls, biosecurity competencies)
Emergency Response;Beginner;- perform specific technical skills (under supervision) depending  on the individuals role in outbreak (implement disposal methods, perform valuation, cleaning and disinfection, wildlife controls)
Emergency Response;Beginner;- is able to use required equipment
Emergency Response;Beginner;-Use veterinary expertise to collaborate and support law enforcement interventions.
Emergency Response;Competent;-  independently perform specific technical skills depending  on the individuals role in outbreak (implement disposal methods, perform valuation, cleaning and disinfection, wildlife controls)
Emergency Response;Competent;-search for new cases
Emergency Response;Competent;- maintain equipment
Emergency Response;Competent;- support and instruct responders in task related to role (lead team)
Emergency Response;Competent;-conduct an initial or outbreak investigation (see epi, sampling, movement controls, biosecurity competencies)
Emergency Response;Competent;-law enforcement related activities- scene preservation, chain of custody of samples/evidence, what information to allow for successful investigation/prosecution.
Emergency Response;Proficient;- evaluate outcomes
Emergency Response;Proficient;- assess consequences of procedural changes and modify function-specific procedures.
Emergency Response;Proficient;- examine new technologies.
Emergency Response;Proficient;- recommend response strategies.
Emergency Response;Proficient;- provide training
Emergency Response;Expert;- approve recommendations specific role protocols
Emergency Response;Expert;- design and selects response strategy
Emergency Response;Expert;- predict likelihood of achieving response goals.
Emergency Response;Expert;-define outcomes     TOM Competency framework Disease control short Nov2022
Veterinary products;Awareness;- advise on veterinary products to treat, manage and/or prevent common infectious and non-infectious diseases, basic reproductive conditions, trauma and other emergencies of domesticated animal species
Veterinary products;Awareness;- describe the characteristics, categories and prudent use of veterinary products
Veterinary products;Awareness;- determine species of animal, route of administration, dosage of drug, period of administration,
Veterinary products;Awareness;- administer veterinary products/biologics
Veterinary products;Awareness;- communicate adverse effects, including development of antimicrobial resistance.
Veterinary products;Awareness;- store and handle products (including cold chain requirements)
Veterinary products;Awareness;- explain and determine drug withdrawal time
Veterinary products;Awareness;- apply regulatory and administrative controls over AMR, AMU
Veterinary products;Awareness;-participates in AMR/AMU surveillance
Veterinary products;Awareness;-Demonstrate awareness of when to seek professional support and advice
Veterinary products;Beginner;- prescribe veterinary products
Veterinary products;Beginner;- describe mechanisms leading to development of antimicrobial resistance
Veterinary products;Beginner;- find and interpret information regarding the link between use of antimicrobials in food animals and development of antimicrobial resistance in pathogens of human importance
Veterinary products;Beginner;-Demonstrate awareness of where to seek professional support and advice
Veterinary products;Beginner;-Communicate this information to authorities and stakeholders
Veterinary products;Competent;- describe regulatory and administrative controls for import, manufacture and registration of veterinary biologics
Veterinary products;Competent;- determine compliance with regulations ( ie audit of manufacturers, import inspections etc.)
Veterinary products;Competent;- implement  AMR surveillance
Veterinary products;Proficient;- approve new products
Veterinary products;Proficient;-support design of AMR surveillance programs
Veterinary products;Expert;- design AMR surveillance programs (NAP)
Veterinary products;Expert;-write and update policies for regulating veterinary medicines and biologics (based on latest science, OIE best practices, current conditions)
Veterinary products;Expert;- recognise the implication of emergencies on supply chain interruptions and international restrictions on movement of biological products      TOM Competency framework Disease control short Nov2022
Animal Welfare;Awareness;– explain the importance of the human animal bond
Animal Welfare;Awareness;-describe the expression of pain and distress of relevant animal species (consider age, breed, physiological or pathological changes)
Animal Welfare;Awareness;- use animal handling techniques and equipment
Animal Welfare;Awareness;- explain animal welfare and the related responsibilities of owners, handlers, veterinarians – find  information regarding local, national and international animal welfare regulations/standards
Animal Welfare;Awareness;"- describe humane methods for: animal production; transport; slaughter for human consumption and killing for disease control purposes."
Animal Welfare;Awareness;- Describe emergency and disaster management implications on animal welfare
Animal Welfare;Beginner;- implement animal welfare compliance program - identify animal welfare problems (may involve scoring systems assurance programmes)  report and participate in corrective actions)
Animal Welfare;Beginner;- perform humane euthanasia on individual animals (captive bolt, cervical dislocation etc.)includes ability to care for and maintain equipment required
Animal Welfare;Beginner;- evaluate humane slaughter stunning/bleeding
Animal Welfare;Beginner;- determine method of restraint (chemical physical) considering welfare concerns
Animal Welfare;Beginner;- recognize the implications of emergencies and disasters on animal welfare
Animal Welfare;Competent;-  implement humane destruction methods for mass depopulations, includes ability to care for and maintain equipment required
Animal Welfare;Competent;- lead team
Animal Welfare;Competent;- summarise the animal health and welfare implications of control measures (such as movement controls)
Animal Welfare;Competent;- perform necropsy in welfare investigation
Animal Welfare;Proficient;-  provide guidance to field staff on implementation and interpretation of welfare programs in complex situations
Animal Welfare;Proficient;- select humane destruction methods for mass depopulations (CO2, foaming, captive bolt, free bullet, pharmaceutical etc.) such as preventative culling, welfare slaughter or destruction during disease outbreaks
Animal Welfare;Proficient;- adapt procedures based on response needs
Animal Welfare;Proficient;-design training
Animal Welfare;Proficient;-evaluate emerging technologies and make recommendations
Animal Welfare;Expert;- write and update compliance programs using scientific articles, international policies and guidelines includes working with stakeholders
Animal Welfare;Expert;- predict social acceptance for response actions
Animal Welfare;Expert;- foresee impacts of veterinary decisions   TOM Competency framework Disease control short Nov2022
Application of Risk Analysis;Awareness;–  explain risk analysis concepts: hazard identification, risk assessment, rapid risk assessment, risk management, risk communication – explain how risk analysis can be used to ensure veterinary services adequately protect animal and human health, the environment in emergency, non emergencies and natural disasters
Application of Risk Analysis;Beginner;- find information needed for risk analysis
Application of Risk Analysis;Beginner;-explain how risk analysis can be applied to assessment of risk of animal disease emergency planning/mitigation/preparation response and recovery, residues of veterinary drugs, including importation of animals and animal products
Application of Risk Analysis;Competent;- use basic/key concepts and principles of risk analysis in accordance with prescribed policy and procedures/guidelines (disease present is TAD or FAST)
Application of Risk Analysis;Competent;-convey disease transmission risks
Application of Risk Analysis;Competent;-map local value chains
Application of Risk Analysis;Proficient;- apply risk analysis principles  in unusual/complex situations
Application of Risk Analysis;Proficient;-support field OV in decision making especially when deviations from prescribed policy are warranted or situation is complex (expanding outbreak)
Application of Risk Analysis;Proficient;- determine risk communication measures (understanding of clear roles and responsibilities)
Application of Risk Analysis;Proficient;- liaison between risk assessment, risk management and risk communication
Application of Risk Analysis;Proficient;- review existing and new threats
Application of Risk Analysis;Proficient;- identify disease transmission risks
Application of Risk Analysis;Expert;- carry out organization level risk analysis (identify and analyse disease transmission pathways and associated value chains to identify  risk hotspots for FAST entry and spread)
Application of Risk Analysis;Expert;- provide risk assessment results to support risk management and policy/program decisions  (identify control options, appraisal of the expected impact and fesibility of identified control options) and support risk communication.
Application of Risk Analysis;Expert;-  support development of risk communication strategy      TOM Competency framework Disease control short Nov2022
Safety, Health and Wellbeing;Awareness;-explain the concepts of situational awareness
Safety, Health and Wellbeing;Awareness;-describe the work space hazards including demanding work hours/conditions/tasks and traumatic, environmental, chemical, and radiological hazards and mitigating processes.
Safety, Health and Wellbeing;Awareness;-describe infectious and non-infectious health hazards and mitigating processes.
Safety, Health and Wellbeing;Awareness;-describe the behavioral/psychological health risks for veterinary professionals and processes to mitigate behavioral health issues and increase resilience.
Safety, Health and Wellbeing;Awareness;- Recognise principles of animal, human, and environment health and safety in emergencies and disasters to allow for recognition and strategic response to One Health impacts.
Safety, Health and Wellbeing;Awareness;- Describe emergency and disaster management implications on livelihoods.
Safety, Health and Wellbeing;Beginner;- recognize signs of deteriorating wellbeing in self
Safety, Health and Wellbeing;Beginner;- identify sources of support (personal and organizational)
Safety, Health and Wellbeing;Beginner;-recognize unsafe work environments
Safety, Health and Wellbeing;Competent;-recognize signs of deteriorating well being in others (mental first aid)
Safety, Health and Wellbeing;Competent;-intervention to prevent further harm (referral to support, contact authorities)
Safety, Health and Wellbeing;Competent;- participate in process to report events, identify root cause and make recommendations
Safety, Health and Wellbeing;Competent;-recognize unsafe work environments and take action to correct
Safety, Health and Wellbeing;Proficient;- lead investigation into accidents or near misses
Safety, Health and Wellbeing;Proficient;-make recommendations to reduce the likelihood of mental or physical health hazards
Safety, Health and Wellbeing;Expert;- write/update policy and procedures to protect employee safety, health and wellbeing
