course,learning objectives,keywords_str
FEPC Canada 2,explain how to enter and leave a premises suspected of FMD in a biosecure manner;,"explain, enter, leave, premises, suspected, FMD, biosecure, manner, ;"
FEPC Canada 2,explain how to conduct an epidemiological investigation on a premises where FMD is suspected/confirmed;,"explain, conduct, epidemiological, investigation, premises, FMD, suspected/confirmed, ;"
FEPC Canada 2,"describe the clinical signs of FMD in cattle, small ruminants and pigs;","describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ;"
FEPC Canada 2,describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
FEPC Canada 2,describe how to age FMD lesions;,"describe, age, FMD, lesions, ;"
FEPC EN10,Explain the pathogenesis of FMD.,"Explain, pathogenesis, FMD, ."
FEPC EN10,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
FEPC EN10,Explain how to enter and leave a premises suspected of FMD in a biosecure manner.,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ."
FEPC EN10,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected.,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected, ."
FEPC EN10,"Describe the clinical signs of FMD in cattle, small ruminants and pigs.","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ."
FEPC EN10,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
FEPC EN10,Describe how to age FMD lesions.,"Describe, age, FMD, lesions, ."
FEPC Serbia,Explain the pathogenesis of FMD.,"Explain, pathogenesis, FMD, ."
FEPC Serbia,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
FEPC Serbia,Explain how to enter and leave a premises suspected of FMD in a biosecure manner.,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ."
FEPC Serbia,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected.,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected, ."
FEPC Serbia,"Describe the clinical signs of FMD in cattle, small ruminants and pigs.","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ."
FEPC Serbia,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
FEPC Serbia,Describe how to age FMD lesions.,"Describe, age, FMD, lesions, ."
FEPC Spain 2020,Explain the pathogenesis of FMD.,"Explain, pathogenesis, FMD, ."
FEPC Spain 2020,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
FEPC Spain 2020,Explain how to enter and leave a premises suspected of FMD in a biosecure manner.,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ."
FEPC Spain 2020,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected.,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected, ."
FEPC Spain 2020,"Describe the clinical signs of FMD in cattle, small ruminants and pigs.","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ."
FEPC Spain 2020,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
FEPC Spain 2020,Describe how to age FMD lesions.,"Describe, age, FMD, lesions, ."
FITC RU4,Outline the key features of the Progressive Control Pathway for FMD Control (PCP-FMD),"Outline, key, features, Progressive, Control, Pathway, FMD, Control, (, PCP-FMD, )"
FITC RU4,Explain which samples should be collected to enable laboratory diagnosis of FMD,"Explain, samples, collected, enable, laboratory, diagnosis, FMD"
FITC RU4,Explain the key requirements for a successful vaccination programme for FMD,"Explain, key, requirements, successful, vaccination, programme, FMD"
FITC RU4,Explain the key requirements for a successful vaccination programme for FMD,"Explain, key, requirements, successful, vaccination, programme, FMD"
FITC RU4,Explain how to enter and leave a premises suspected of FMD in a biosecure manner,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner"
FITC RU4,"Explain how to diagnose FMD in cattle, small ruminants and pigs","Explain, diagnose, FMD, cattle, ,, small, ruminants, pigs"
FITC RU4,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected"
FITC RU4,Describe how to age FMD lesions,"Describe, age, FMD, lesions"
FITC SADC,Outline the key features of the Progressive Control Pathway for FMD Control (PCP-FMD),"Outline, key, features, Progressive, Control, Pathway, FMD, Control, (, PCP-FMD, )"
FITC SADC,Explain which samples should be collected to enable laboratory diagnosis of FMD,"Explain, samples, collected, enable, laboratory, diagnosis, FMD"
FITC SADC,Explain the pathogenesis of FMD,"Explain, pathogenesis, FMD"
FITC SADC,Explain the key requirements for a successful vaccination programme for FMD,"Explain, key, requirements, successful, vaccination, programme, FMD"
FITC SADC,Explain how to enter and leave a premises suspected of FMD in a biosecure manner,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner"
FITC SADC,"Explain how to diagnose FMD in cattle, small ruminants and pigs","Explain, diagnose, FMD, cattle, ,, small, ruminants, pigs"
FITC SADC,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected"
FITC SADC,Describe how to age FMD lesions,"Describe, age, FMD, lesions"
FITC Turkey,Outline the key features of the Progressive Control Pathway for FMD Control (PCP-FMD),"Outline, key, features, Progressive, Control, Pathway, FMD, Control, (, PCP-FMD, )"
FITC Turkey,Explain which samples should be collected to enable laboratory diagnosis of FMD,"Explain, samples, collected, enable, laboratory, diagnosis, FMD"
FITC Turkey,Explain the pathogenesis of FMD,"Explain, pathogenesis, FMD"
FITC Turkey,Explain the key requirements for a successful vaccination programme for FMD,"Explain, key, requirements, successful, vaccination, programme, FMD"
FITC Turkey,Explain how to enter and leave a premises suspected of FMD in a biosecure manner,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner"
FITC Turkey,"Explain how to diagnose FMD in cattle, small ruminants and pigs","Explain, diagnose, FMD, cattle, ,, small, ruminants, pigs"
FITC Turkey,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected"
FITC Turkey,Describe how to age FMD lesions,"Describe, age, FMD, lesions"
FLITC3,Submit appropriate samples to reference laboratories,"Submit, appropriate, samples, reference, laboratories"
FLITC3,"Select appropriate diagnostic tests to detect FMD virus and FMD virus-specific antibodies, and interpret the results of these tests","Select, appropriate, diagnostic, tests, detect, FMD, virus, FMD, virus-specific, antibodies, ,, interpret, results, tests"
FLITC3,Outline techniques for further characterization of FMD virus including genomic sequencing and vaccine matching tests,"Outline, techniques, characterization, FMD, virus, including, genomic, sequencing, vaccine, matching, tests"
FLITC3,Guide field staff in collection of quality diagnostic samples,"Guide, field, staff, collection, quality, diagnostic, samples"
FLITC3,"Explain the principles of accurate virus detection test methods (virus isolation, ELISA and RT-PCR) and assays used for serology (VNT and ELISA)","Explain, principles, accurate, virus, detection, test, methods, (, virus, isolation, ,, ELISA, RT-PCR, ), assays, used, serology, (, VNT, ELISA, )"
FLITC3,Explain the key principles of biosecurity and biosafety measures to be carried out in an FMD laboratory,"Explain, key, principles, biosecurity, biosafety, measures, carried, FMD, laboratory"
FLITC3,Describe the importance and basic principles of laboratory Quality Assurance,"Describe, importance, basic, principles, laboratory, Quality, Assurance"
Improving Surveillance ME,"Understand the surveillance components and select different types of surveillance according to the objectives (e.g. early detection, case finding, evidence of freedom);","Understand, surveillance, components, select, different, types, surveillance, according, objectives, (, e.g, ., early, detection, ,, case, finding, ,, evidence, freedom, ), ;"
Improving Surveillance ME,"Understand the different measures utilized to quantify animal diseases, (e.g. prevalence, cumulative incidence, incidence rates and force of infection); ","Understand, different, measures, utilized, quantify, animal, diseases, ,, (, e.g, ., prevalence, ,, cumulative, incidence, ,, incidence, rates, force, infection, ), ;"
Improving Surveillance ME,Describe diagnostic tests currently used and test to be used according to the purpose of the surveillance;,"Describe, diagnostic, tests, currently, used, test, used, according, purpose, surveillance, ;"
Improving Surveillance ME,Define tests to be used according to the purpose of the surveillance; ,"Define, tests, used, according, purpose, surveillance, ;"
Improving Surveillance ME,Apply the measures in the context of a current surveillance in place;,"Apply, measures, context, current, surveillance, place, ;"
Improving Surveillance ME,Apply principles of risk-based surveillance by writing a description of an homogeneous sub-populations in your country and surveillance options to be implemented. ,"Apply, principles, risk-based, surveillance, writing, description, homogeneous, sub-populations, country, surveillance, options, implemented, ."
Improving Surveillance ME,Analyze the surveillance implemented for each FAST disease in your own country and identify if and how the surveillance can be improved to meet the objectives. ,"Analyze, surveillance, implemented, FAST, disease, country, identify, surveillance, improved, meet, objectives, ."
Improving Surveillance ME,"Analyze the main characteristics (sensitivity, specificity, reproducibility, high-throughput) of diagnostic tests in the context of surveillance of FAST diseases;","Analyze, main, characteristics, (, sensitivity, ,, specificity, ,, reproducibility, ,, high-throughput, ), diagnostic, tests, context, surveillance, FAST, diseases, ;"
Improving surveillance REPIVET RELABSA Marrakech,"Understand the surveillance components and select different types of surveillance according to the objectives (e.g. early detection, case finding, evidence of freedom);","Understand, surveillance, components, select, different, types, surveillance, according, objectives, (, e.g, ., early, detection, ,, case, finding, ,, evidence, freedom, ), ;"
Improving surveillance REPIVET RELABSA Marrakech,"Understand the different measures utilized to quantify animal diseases, (e.g. prevalence, cumulative incidence, incidence rates and force of infection); ","Understand, different, measures, utilized, quantify, animal, diseases, ,, (, e.g, ., prevalence, ,, cumulative, incidence, ,, incidence, rates, force, infection, ), ;"
Improving surveillance REPIVET RELABSA Marrakech,Describe diagnostic tests currently used and test to be used according to the purpose of the surveillance;,"Describe, diagnostic, tests, currently, used, test, used, according, purpose, surveillance, ;"
Improving surveillance REPIVET RELABSA Marrakech,Define tests to be used according to the purpose of the surveillance; ,"Define, tests, used, according, purpose, surveillance, ;"
Improving surveillance REPIVET RELABSA Marrakech,Apply the measures in the context of a current surveillance in place;,"Apply, measures, context, current, surveillance, place, ;"
Improving surveillance REPIVET RELABSA Marrakech,Apply principles of risk-based surveillance by writing a description of an homogeneous sub-populations in your country and surveillance options to be implemented.,"Apply, principles, risk-based, surveillance, writing, description, homogeneous, sub-populations, country, surveillance, options, implemented, ."
Improving surveillance REPIVET RELABSA Marrakech,Analyze the surveillance implemented for each FAST disease in your own country and identify if and how the surveillance can be improved to meet the objectives. ,"Analyze, surveillance, implemented, FAST, disease, country, identify, surveillance, improved, meet, objectives, ."
Improving surveillance REPIVET RELABSA Marrakech,"Analyze the main characteristics (sensitivity, specificity, reproducibility, high-throughput) of diagnostic tests in the context of surveillance of FAST diseases;","Analyze, main, characteristics, (, sensitivity, ,, specificity, ,, reproducibility, ,, high-throughput, ), diagnostic, tests, context, surveillance, FAST, diseases, ;"
Improving Surveillance SEEN,"Understand the surveillance components and select different types of surveillance according to the objectives (e.g. early detection, case finding, evidence of freedom);","Understand, surveillance, components, select, different, types, surveillance, according, objectives, (, e.g, ., early, detection, ,, case, finding, ,, evidence, freedom, ), ;"
Improving Surveillance SEEN,Describe diagnostic tests currently used and test to be used according to the purpose of the surveillance;,"Describe, diagnostic, tests, currently, used, test, used, according, purpose, surveillance, ;"
Improving Surveillance SEEN,Define tests to be used according to the purpose of the surveillance;,"Define, tests, used, according, purpose, surveillance, ;"
Improving Surveillance SEEN,Apply principles of risk-based surveillance by writing a description of an homogeneous sub-populations in your country and surveillance options to be implemented. ,"Apply, principles, risk-based, surveillance, writing, description, homogeneous, sub-populations, country, surveillance, options, implemented, ."
Improving Surveillance SEEN,Analyze the surveillance implemented for each FAST disease in your own country and identify if and how the surveillance can be improved to meet the objectives.,"Analyze, surveillance, implemented, FAST, disease, country, identify, surveillance, improved, meet, objectives, ."
Laboratory Sequencing Course EuFMD lab support / WS session / EURL PT results,Understand the principles and tools for FMDV sequence data analysis and interpretation,"Understand, principles, tools, FMDV, sequence, data, analysis, interpretation"
Laboratory Sequencing Course EuFMD lab support / WS session / EURL PT results,Select and use appropriate recommended methods/protocols for FMDV ,"Select, use, appropriate, recommended, methods/protocols, FMDV"
Laboratory Sequencing Course EuFMD lab support / WS session / EURL PT results,detection and serotype-determination ,"detection, serotype-determination"
LSD,Develop a national/sectoral action plan for the establishment of an enabling environment  for public and private sector collaboration PPPs in FAST control,"Develop, national/sectoral, action, plan, establishment, enabling, environment, public, private, sector, collaboration, PPPs, FAST, control"
LSD Russian,Summarize the advantages and disadvantages of available control measures for LSD;,"Summarize, advantages, disadvantages, available, control, measures, LSD, ;"
LSD Russian,Explain the main consideration in the implementation of vaccination programmes to control LSD.,"Explain, main, consideration, implementation, vaccination, programmes, control, LSD, ."
LSD Russian,Explain main serological and virological diagnostic test for LSD;,"Explain, main, serological, virological, diagnostic, test, LSD, ;"
LSD Russian,Explain how to design surveillance programmes for LSD;,"Explain, design, surveillance, programmes, LSD, ;"
LSD Russian,Explain how to conduct an epidemiological investigation on a premises suspected of LSD;,"Explain, conduct, epidemiological, investigation, premises, suspected, LSD, ;"
LSD Russian,Explain how to collect and handle samples to enable laboratory diagnosis of LSD;,"Explain, collect, handle, samples, enable, laboratory, diagnosis, LSD, ;"
LSD Russian,Describe the global significance of LSD,"Describe, global, significance, LSD"
LSD Russian,Describe the clinical signs of LSD;,"Describe, clinical, signs, LSD, ;"
LSD Russian,Describe key epidemiological features of LSD to include risk factors and routes of transmission;,"Describe, key, epidemiological, features, LSD, include, risk, factors, routes, transmission, ;"
PPP OIE,Develop the outline of a business case for establishment of a PPP to address a FAST disease priority in their country,"Develop, outline, business, case, establishment, PPP, address, FAST, disease, priority, country"
PPP OIE,Develop a national/sectoral action plan for the establishment of an enabling environment  for public and private sector collaboration PPPs in FAST control,"Develop, national/sectoral, action, plan, establishment, enabling, environment, public, private, sector, collaboration, PPPs, FAST, control"
PPP OIE,"Conduct an analysis of opportunities for PPP for FAST control in their country, in which existing PPPs, stakeholders, and demands from the public and private sectors are mapped","Conduct, analysis, opportunities, PPP, FAST, control, country, ,, existing, PPPs, ,, stakeholders, ,, demands, public, private, sectors, mapped"
PPP OIE,Apply a framework to conduct an initial evaluation of a business case for a PPP,"Apply, framework, conduct, initial, evaluation, business, case, PPP"
PPP/SE SEEN,Develop the outline of a business case for establishment of a PPP to address a FAST disease priority in their country,"Develop, outline, business, case, establishment, PPP, address, FAST, disease, priority, country"
PPP/SE SEEN,Develop a national/sectoral action plan for the establishment of an enabling environment  for public and private sector collaboration PPPs in FAST control,"Develop, national/sectoral, action, plan, establishment, enabling, environment, public, private, sector, collaboration, PPPs, FAST, control"
PPP/SE SEEN,"Conduct an analysis of opportunities for PPP for FAST control in their country, in which existing PPPs, stakeholders, and demands from the public and private sectors are mapped","Conduct, analysis, opportunities, PPP, FAST, control, country, ,, existing, PPPs, ,, stakeholders, ,, demands, public, private, sectors, mapped"
PPP/SE SEEN,Apply a framework to conduct an initial evaluation of a business case for a PPP,"Apply, framework, conduct, initial, evaluation, business, case, PPP"
PVM,perform serological studies to assess vaccine quality and population immunity;,"perform, serological, studies, assess, vaccine, quality, population, immunity, ;"
PVM,perform appropriate quantitative studies to monitor vaccination coverage;,"perform, appropriate, quantitative, studies, monitor, vaccination, coverage, ;"
PVM,formulate a broad evaluation of a vaccination programme  and use this information to make  adjustments to improve the efficiency of control measures relevant to the programme objectives.,"formulate, broad, evaluation, vaccination, programme, use, information, make, adjustments, improve, efficiency, control, measures, relevant, programme, objectives, ."
PVM,explain the principles of current research into livestock vaccines and their effectiveness;,"explain, principles, current, research, livestock, vaccines, effectiveness, ;"
PVM,explain the difference between vaccine efficacy and effectiveness;,"explain, difference, vaccine, efficacy, effectiveness, ;"
PVM,describe  different  vaccination  strategies  and explain  how these  integrate  into  broader disease control strategies;,"describe, different, vaccination, strategies, explain, integrate, broader, disease, control, strategies, ;"
PVM,conduct vaccine effectiveness studies;,"conduct, vaccine, effectiveness, studies, ;"
PVM,conduct investigations into reported vaccination failures;,"conduct, investigations, reported, vaccination, failures, ;"
RA safe trade Kenya,"Review and consolidate learning from 1st workshop (Risk assessment) and prepare an individual feedback on specific review topics, to be assessed by trainers on discussion forum and live session","Review, consolidate, learning, 1st, workshop, (, Risk, assessment, ), prepare, individual, feedback, specific, review, topics, ,, assessed, trainers, discussion, forum, live, session"
RA safe trade Kenya,Describe the role of risk analysis in a veterinary services and prepare a presentation for the closing live session to be evaluated by trainers ,"Describe, role, risk, analysis, veterinary, services, prepare, presentation, closing, live, session, evaluated, trainers"
RA safe trade Kenya,"Describe the principles of Risk management (Who is responsible?, Risk evaluation: criteria to determine if risk management options are justified, Identify and evaluate the risk management options, Best practices: monitoring and evaluation, feasibility) to be evaluated by trainers through country feedback on the discussion forum","Describe, principles, Risk, management, (, Who, responsible, ?, ,, Risk, evaluation, :, criteria, determine, risk, management, options, justified, ,, Identify, evaluate, risk, management, options, ,, Best, practices, :, monitoring, evaluation, ,, feasibility, ), evaluated, trainers, country, feedback, discussion, forum"
RA safe trade Kenya,Describe the following principles of Risk communication and prepare a country communication plan to be evaluated by trainers on the discussion forum: Who is responsible? What is the target audience? Appropriate content and messafges; Identify potential barriers to effective risk communication; develop communication plan),"Describe, following, principles, Risk, communication, prepare, country, communication, plan, evaluated, trainers, discussion, forum, :, Who, responsible, ?, What, target, audience, ?, Appropriate, content, messafges, ;, Identify, potential, barriers, effective, risk, communication, ;, develop, communication, plan, )"
RAVC,map value chains in order to identify disease transmission risks and control options;,"map, value, chains, order, identify, disease, transmission, risks, control, options, ;"
RAVC,appraise the expected impact and feasibility of candidate control options;,"appraise, expected, impact, feasibility, candidate, control, options, ;"
RAVC,apply what you have learned to the development of a Risk-Based control plans.,"apply, learned, development, Risk-Based, control, plans, ."
RAVC,apply the key concepts and principles of risk analysis to identify risk hotspots for FAST entry and spread;,"apply, key, concepts, principles, risk, analysis, identify, risk, hotspots, FAST, entry, spread, ;"
RBSP N Africa,Initiate or assist with the development of an RBSP,"Initiate, assist, development, RBSP"
RBSP N Africa,Identify and access additional resources available to assist with the development of an RBSP,"Identify, access, additional, resources, available, assist, development, RBSP"
RBSP N Africa,Explain the importance of the Risk Based Strategic Plan (RBSP) within the PCP-FMD,"Explain, importance, Risk, Based, Strategic, Plan, (, RBSP, ), within, PCP-FMD"
RBSP N Africa,"Describe the expertise needed to contribute to the RBSP, the stakeholder consultation required and some approaches to engage stakeholders ","Describe, expertise, needed, contribute, RBSP, ,, stakeholder, consultation, required, approaches, engage, stakeholders"
RBSP N Africa,Describe the content that should be included within an RBSP,"Describe, content, included, within, RBSP"
RBSP N Africa,Describe criteria that can be used to assess if developing an RBSP would be recommended for a country,"Describe, criteria, used, assess, developing, RBSP, would, recommended, country"
Risk Analysis to support safe trade and FMD,"Review and consolidate learning from 1st workshop (Risk assessment) and prepare an individual feedback on specific review topics, to be assessed by trainers on discussion forum and live session","Review, consolidate, learning, 1st, workshop, (, Risk, assessment, ), prepare, individual, feedback, specific, review, topics, ,, assessed, trainers, discussion, forum, live, session"
Risk Analysis to support safe trade and FMD,"Identify and evaluate the risk management options, Best practices: monitoring and evaluation, feasibility) to be evaluated by trainers through country feedback on the discussion forum","Identify, evaluate, risk, management, options, ,, Best, practices, :, monitoring, evaluation, ,, feasibility, ), evaluated, trainers, country, feedback, discussion, forum"
Risk Analysis to support safe trade and FMD,Describe the role of risk analysis in a veterinary services and prepare a presentation for the closing live session to be evaluated by trainers ,"Describe, role, risk, analysis, veterinary, services, prepare, presentation, closing, live, session, evaluated, trainers"
